"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"13263","39331",-0.572176587301586,-0.445732484076433,-15.8030819712626,2.05110715033583e-34,6.61516241102477e-32,67.6611561310727
"18840","WDR17",0.744303571428571,0.024968152866242,15.6634147454931,4.85977271728375e-34,1.54166330905177e-31,66.8065548744571
"7474","HLA-DRA",-1.08986706349206,-0.937707006369427,-15.6318029315051,5.90896583767341e-34,1.84426448265836e-31,66.6128845068687
"553","RXRG",0.812045634920634,0.257515923566879,15.5245587747937,1.14763075023273e-33,3.52504803932597e-31,65.9551956380312
"7572","EGR1",0.683821428571428,0.253821656050955,15.4973955439955,1.35796766962269e-33,4.060292031359e-31,65.7884546576967
"2125","SLC8A1",0.573396825396825,0.109936305732484,15.4966977894733,1.36385190449245e-33,4.060292031359e-31,65.7841706665841
"6914","HHLA1",1.02807738095238,0.802738853503185,15.4844176412889,1.47169646793197e-33,4.31496944711389e-31,65.7087676063855
"8266","NAGK",0.585482142857143,0.0856687898089172,15.4456663023604,1.87133065988986e-33,5.40479397007889e-31,65.470740376688
"7308","HSP90AB1",-1.13227627627627,-0.857435897435897,-15.4259121187027,2.48289887332149e-33,7.06567295553591e-31,65.1927463876202
"319","NPIP",-1.21302579365079,-0.73312101910828,-15.3833925142396,2.75377017096245e-33,7.72292848960788e-31,65.0879610104817
"9403","CD244",0.688821428571428,0.237388535031847,15.3806467648951,2.80109904117739e-33,7.74343822083194e-31,65.0710761405235
"5933","TBC1D4",0.810206349206349,0.094203821656051,15.3747935870174,2.90472998503592e-33,7.91682111837042e-31,65.0350801594485
"12442","ZYX",-0.904748376623378,-0.578653846153846,-15.3612085042074,3.70401762808583e-33,9.95506182237345e-31,64.7958554535463
"6942","CCNE2",0.715952380952381,0.174076433121019,15.3125982608358,4.27394903512132e-33,1.13294777778949e-30,64.6524137091061
"7451","TMEM30A",0.98073611111111,0.624522292993631,15.2531696314047,6.18328748771844e-33,1.61692967803837e-30,64.2864713606324
"13740","IL12RB2",0.797948412698412,-0.15031847133758,15.2356614426379,6.89438077177742e-33,1.77884216419553e-30,64.1786065715437
"16946","BIRC5",0.906067460317459,0.525477707006369,15.233133248015,7.00362374384631e-33,1.78325161930487e-30,64.163028765831
"11837","SETD3",-1.06041666666667,-0.479808917197452,-15.2209952935711,7.55275085926568e-33,1.89809456983961e-30,64.0882319498464
"12917","C9orf125",0.686821428571429,-0.21203821656051,15.1505465023432,1.17077701864309e-32,2.90457770355929e-30,63.653876815228
"16589","CEL",-0.572132936507936,-0.275923566878981,-15.1029638620088,1.57452308732762e-32,3.837704672599e-30,63.360280750156
"11143","SF3B3",-0.633767857142857,-0.506114649681529,-15.1017405652806,1.58656593358441e-32,3.837704672599e-30,63.3527303736655
"14318","TTC17",0.873613095238095,-0.0574522292993631,15.0800664602256,1.81591784371702e-32,4.33825014737877e-30,63.2189350469539
"15481","PTMA",-0.631039682539681,-0.443057324840764,-15.0407718835684,2.31977211020611e-32,5.47437928104859e-30,62.9762745396235
"1579","CA14",0.690628968253968,0.263566878980892,15.0190096271346,2.65684309064097e-32,6.1942856201197e-30,62.8418321995397
"13064","PCQAP",-0.449251984126983,-0.492929936305733,-14.8838951113381,6.17344953505135e-32,1.42217168991403e-29,62.006321901358
"12110","RABGAP1L",0.743640873015873,-0.133949044585987,14.8529915426862,7.48787789012165e-32,1.68757161196577e-29,61.8150319760382
"7800","CNO",-0.467755952380952,-0.331019108280255,-14.8514007403996,7.56266510171445e-32,1.68757161196577e-29,61.80518318091
